K,stage,active_losses,seed,valid_map_avg,sym2herb_map,herb2sym_map,symptom_pred_ppl_em_prob,herb_pred_ppl_em_prob,topic_coherence
5,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",42,0.22359459586202968,0.20508208481090826,0.24210710691315107,73.52896917154645,165.03830478245484,0.81434425238779
5,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",43,0.22104449726154168,0.20445766824764788,0.23763132627543546,72.52142964817041,160.91134450490125,0.8151341441584959
5,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",44,0.2173137262935197,0.2008912182055033,0.23373623438153612,76.78440021814718,164.83948559373965,0.8235109469953192
5,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",45,0.20292421418666973,0.18649978538472287,0.21934864298861656,73.32245529825568,163.7961804807246,0.7991788179043058
5,00_active_graph_h__graph_s__l1__pair__know_hs,"graph_h,graph_s,l1,pair,know_hs",46,0.22162339597888808,0.2000678504565283,0.24317894150124786,73.4627183376772,167.75052040095844,0.8038376829741164
5,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",42,0.22130835244244063,0.20363480550806148,0.23898189937681977,73.61914247179172,164.74331657437062,0.806984178773342
5,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",43,0.22582407834035126,0.20711676575586405,0.24453139092483847,72.51374058264861,160.65811317291028,0.8098933228709763
5,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",44,0.2166486681816845,0.1999920110464734,0.2333053253168956,76.91312390199046,164.80303070168463,0.8108211615802785
5,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",45,0.2309559979603753,0.21049966496508768,0.2514123309556629,73.4014452670874,160.4902967023773,0.8075855581569126
5,01_active_graph_h__graph_s__l1__pair,"graph_h,graph_s,l1,pair",46,0.21934478818969788,0.19887995752778884,0.23980961885160693,73.51680047690945,168.01915478178398,0.8038376829741164
5,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",42,0.21747656413113775,0.2025149394149978,0.23243818884727774,73.59020349049885,165.781975927279,0.843509401227428
5,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",43,0.2277936007563009,0.20287663782809548,0.25271056368450634,72.64316120438454,159.90515029349234,0.8098933228709763
5,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",44,0.1961868100109035,0.17406748474605646,0.2183061352757505,76.9576446428769,168.83460521336286,0.8116412805912926
5,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",45,0.200292009189458,0.17809079511503306,0.2224932232638829,73.35098670644027,164.98457183869922,0.7980669249819676
5,02_active_graph_h__graph_s__l1,"graph_h,graph_s,l1",46,0.22053866567873232,0.1986756352831902,0.2424016960742744,73.44611174736045,168.27167032142214,0.8038376829741164
5,03_active_graph_h__graph_s,"graph_h,graph_s",42,0.23052364711975828,0.20840195165599923,0.25264534258351734,73.26898800391803,162.12932268739976,0.758975331371176
5,03_active_graph_h__graph_s,"graph_h,graph_s",43,0.23290481103652172,0.21055256753332738,0.25525705453971603,72.57497051628404,159.04759503399728,0.8003632898074848
5,03_active_graph_h__graph_s,"graph_h,graph_s",44,0.22094279404502787,0.20525034593332694,0.2366352421567288,77.02995941109947,163.94670429227494,0.8268360356516732
5,03_active_graph_h__graph_s,"graph_h,graph_s",45,0.2292600280651345,0.21468785046912178,0.24383220566114727,73.19158354634041,159.9306850337577,0.812712901237429
5,03_active_graph_h__graph_s,"graph_h,graph_s",46,0.22743572349305938,0.20445044495461867,0.2504210020315001,73.48682906855596,165.82196102393038,0.8165814030465881
5,04_active_graph_h,graph_h,42,0.20364617327435405,0.16054020642606218,0.24675214012264593,74.45732327815453,164.9723386399528,0.7771205003247877
5,04_active_graph_h,graph_h,43,0.20845857967265624,0.16222286141930578,0.2546942979260067,73.70407594124282,160.56432910690876,0.8288214135803319
5,04_active_graph_h,graph_h,44,0.197389932624583,0.15814575903089959,0.23663410621826642,77.85936501055555,165.38360147365054,0.7789950098366425
5,04_active_graph_h,graph_h,45,0.20648292695691592,0.16322796302869888,0.24973789088513296,73.9935954834659,161.28030196529647,0.8332036004869747
5,04_active_graph_h,graph_h,46,0.200334739837541,0.15540000914875424,0.24526947052632775,74.52244273751892,168.1351340470237,0.7790037032686611
