model,K,n_seeds,MAP_avg_mean,MAP_avg_std,MAP_avg_best_seed,MAP_avg_worst_seed,MAP_avg_best_val,MAP_avg_worst_val,NRE_ph_mean,NRE_ph_std,NRE_ph_best_seed,NRE_ph_worst_seed,NRE_ph_best_val,NRE_ph_worst_val,NRE_ps_mean,NRE_ps_std,NRE_ps_best_seed,NRE_ps_worst_seed,NRE_ps_best_val,NRE_ps_worst_val,Topic_Coherence_mean,Topic_Coherence_std,Topic_Coherence_best_seed,Topic_Coherence_worst_seed,Topic_Coherence_best_val,Topic_Coherence_worst_val,herb2sym_MAP_mean,herb2sym_MAP_std,herb2sym_MAP_best_seed,herb2sym_MAP_worst_seed,herb2sym_MAP_best_val,herb2sym_MAP_worst_val,herb2sym_NDCG@10_mean,herb2sym_NDCG@10_std,herb2sym_NDCG@10_best_seed,herb2sym_NDCG@10_worst_seed,herb2sym_NDCG@10_best_val,herb2sym_NDCG@10_worst_val,herb2sym_NDCG@5_mean,herb2sym_NDCG@5_std,herb2sym_NDCG@5_best_seed,herb2sym_NDCG@5_worst_seed,herb2sym_NDCG@5_best_val,herb2sym_NDCG@5_worst_val,herb2sym_P@10_mean,herb2sym_P@10_std,herb2sym_P@10_best_seed,herb2sym_P@10_worst_seed,herb2sym_P@10_best_val,herb2sym_P@10_worst_val,herb2sym_P@5_mean,herb2sym_P@5_std,herb2sym_P@5_best_seed,herb2sym_P@5_worst_seed,herb2sym_P@5_best_val,herb2sym_P@5_worst_val,herb2sym_R@10_mean,herb2sym_R@10_std,herb2sym_R@10_best_seed,herb2sym_R@10_worst_seed,herb2sym_R@10_best_val,herb2sym_R@10_worst_val,herb2sym_R@5_mean,herb2sym_R@5_std,herb2sym_R@5_best_seed,herb2sym_R@5_worst_seed,herb2sym_R@5_best_val,herb2sym_R@5_worst_val,herb_NDCG@10_mean,herb_NDCG@10_std,herb_NDCG@10_best_seed,herb_NDCG@10_worst_seed,herb_NDCG@10_best_val,herb_NDCG@10_worst_val,herb_Precision@10_mean,herb_Precision@10_std,herb_Precision@10_best_seed,herb_Precision@10_worst_seed,herb_Precision@10_best_val,herb_Precision@10_worst_val,herb_Recall@10_mean,herb_Recall@10_std,herb_Recall@10_best_seed,herb_Recall@10_worst_seed,herb_Recall@10_best_val,herb_Recall@10_worst_val,herb_pred_PPL_mean,herb_pred_PPL_std,herb_pred_PPL_best_seed,herb_pred_PPL_worst_seed,herb_pred_PPL_best_val,herb_pred_PPL_worst_val,herb_pred_PPL_em_mean,herb_pred_PPL_em_std,herb_pred_PPL_em_best_seed,herb_pred_PPL_em_worst_seed,herb_pred_PPL_em_best_val,herb_pred_PPL_em_worst_val,herb_pred_PPL_prob_mean,herb_pred_PPL_prob_std,herb_pred_PPL_prob_best_seed,herb_pred_PPL_prob_worst_seed,herb_pred_PPL_prob_best_val,herb_pred_PPL_prob_worst_val,sym2herb_MAP_mean,sym2herb_MAP_std,sym2herb_MAP_best_seed,sym2herb_MAP_worst_seed,sym2herb_MAP_best_val,sym2herb_MAP_worst_val,sym2herb_NDCG@10_mean,sym2herb_NDCG@10_std,sym2herb_NDCG@10_best_seed,sym2herb_NDCG@10_worst_seed,sym2herb_NDCG@10_best_val,sym2herb_NDCG@10_worst_val,sym2herb_NDCG@5_mean,sym2herb_NDCG@5_std,sym2herb_NDCG@5_best_seed,sym2herb_NDCG@5_worst_seed,sym2herb_NDCG@5_best_val,sym2herb_NDCG@5_worst_val,sym2herb_P@10_mean,sym2herb_P@10_std,sym2herb_P@10_best_seed,sym2herb_P@10_worst_seed,sym2herb_P@10_best_val,sym2herb_P@10_worst_val,sym2herb_P@5_mean,sym2herb_P@5_std,sym2herb_P@5_best_seed,sym2herb_P@5_worst_seed,sym2herb_P@5_best_val,sym2herb_P@5_worst_val,sym2herb_R@10_mean,sym2herb_R@10_std,sym2herb_R@10_best_seed,sym2herb_R@10_worst_seed,sym2herb_R@10_best_val,sym2herb_R@10_worst_val,sym2herb_R@5_mean,sym2herb_R@5_std,sym2herb_R@5_best_seed,sym2herb_R@5_worst_seed,sym2herb_R@5_best_val,sym2herb_R@5_worst_val,sym_NDCG@10_mean,sym_NDCG@10_std,sym_NDCG@10_best_seed,sym_NDCG@10_worst_seed,sym_NDCG@10_best_val,sym_NDCG@10_worst_val,sym_Precision@10_mean,sym_Precision@10_std,sym_Precision@10_best_seed,sym_Precision@10_worst_seed,sym_Precision@10_best_val,sym_Precision@10_worst_val,sym_Recall@10_mean,sym_Recall@10_std,sym_Recall@10_best_seed,sym_Recall@10_worst_seed,sym_Recall@10_best_val,sym_Recall@10_worst_val,sym_pred_PPL_mean,sym_pred_PPL_std,sym_pred_PPL_best_seed,sym_pred_PPL_worst_seed,sym_pred_PPL_best_val,sym_pred_PPL_worst_val,sym_pred_PPL_em_mean,sym_pred_PPL_em_std,sym_pred_PPL_em_best_seed,sym_pred_PPL_em_worst_seed,sym_pred_PPL_em_best_val,sym_pred_PPL_em_worst_val,sym_pred_PPL_prob_mean,sym_pred_PPL_prob_std,sym_pred_PPL_prob_best_seed,sym_pred_PPL_prob_worst_seed,sym_pred_PPL_prob_best_val,sym_pred_PPL_prob_worst_val
ptm_a,5,10,,,,,,,,,,,,,,,,,,,0.774000,0.038000,1,2,0.820000,0.700000,,,,,,,,,,,,,,,,,,,,,,,,,0.092122,0.001804,5,4,0.093923,0.088663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.992339,7.561549,8,7,234.957184,258.757247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226013,0.004325,4,2,0.235664,0.220363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.112933,1.960757,3,7,77.240738,83.317606,,,,,,,,,,,,
ptm_a,10,10,,,,,,,,,,,,,,,,,,,0.710000,0.046690,5,3,0.760000,0.610000,,,,,,,,,,,,,,,,,,,,,,,,,0.101291,0.000772,1,2,0.102650,0.099861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.984073,4.410953,5,10,290.760866,304.392656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234110,0.003505,5,8,0.238055,0.225224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.064418,0.543051,5,8,72.807217,74.788357,,,,,,,,,,,,
ptm_a,15,3,,,,,,,,,,,,,,,,,,,0.655556,0.029979,2,1,0.693333,0.620000,,,,,,,,,,,,,,,,,,,,,,,,,0.106914,0.000704,3,1,0.107870,0.106196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.487600,1.595349,2,1,157.250386,160.740123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256944,0.001698,3,1,0.258338,0.254553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.969176,0.859969,3,1,60.856866,62.951236,,,,,,,,,,,,
ptm_a,20,10,,,,,,,,,,,,,,,,,,,0.575000,0.021602,1,3,0.595000,0.545000,,,,,,,,,,,,,,,,,,,,,,,,,0.103650,0.001457,1,10,0.105811,0.100889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.636557,11.012901,6,10,369.959884,411.129082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208805,0.002301,9,4,0.211859,0.204625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.222183,1.261545,6,7,83.239439,87.286732,,,,,,,,,,,,
ptm_a,25,10,,,,,,,,,,,,,,,,,,,0.596800,0.024903,4,1,0.660000,0.564000,,,,,,,,,,,,,,,,,,,,,,,,,0.106101,0.000958,4,1,0.107671,0.104443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.527225,5.142126,10,2,304.645714,323.649263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228739,0.001713,8,5,0.231759,0.226220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.306815,0.711554,4,9,70.284809,73.006394,,,,,,,,,,,,
ptm_a,30,10,,,,,,,,,,,,,,,,,,,0.614667,0.023907,10,6,0.653333,0.580000,,,,,,,,,,,,,,,,,,,,,,,,,0.107057,0.001512,4,2,0.108747,0.103527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.283872,7.151894,5,2,287.251926,315.658498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229934,0.003701,3,8,0.235704,0.224626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.926632,0.905167,4,2,67.969318,71.417506,,,,,,,,,,,,
ptm_a,35,10,,,,,,,,,,,,,,,,,,,0.593143,0.017989,1,5,0.620000,0.574286,,,,,,,,,,,,,,,,,,,,,,,,,0.106970,0.000784,8,5,0.108109,0.105599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.208408,3.450244,2,6,297.270374,308.345523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227304,0.002101,2,1,0.231600,0.224467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.318666,0.970382,2,7,68.141739,71.511374,,,,,,,,,,,,
ptm_a,40,10,,,,,,,,,,,,,,,,,,,0.578500,0.023162,4,5,0.620000,0.542500,,,,,,,,,,,,,,,,,,,,,,,,,0.107846,0.000794,10,7,0.109026,0.106196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.699588,3.979453,1,7,281.567316,295.837737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224136,0.003071,3,10,0.231201,0.219406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.516613,0.581380,1,7,68.518135,70.554725,,,,,,,,,,,,
ptm_b,5,10,,,,,,,,,,,,,,,,,,,0.836000,0.039799,6,9,0.900000,0.760000,,,,,,,,,,,,,,,,,,,,,,,,,0.086962,0.001860,6,4,0.089540,0.082805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.329350,2.600330,6,4,163.922639,174.427969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229914,0.004174,8,4,0.235386,0.222993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.147162,1.469647,6,4,76.900018,82.544933,,,,,,,,,,,,
ptm_b,10,10,,,,,,,,,,,,,,,,,,,0.781000,0.032696,2,6,0.830000,0.730000,,,,,,,,,,,,,,,,,,,,,,,,,0.094756,0.002340,3,8,0.099422,0.091213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.345666,2.180704,3,10,155.159834,162.987805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.240944,0.003880,3,8,0.247420,0.234868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.566272,1.549631,3,10,70.045579,74.607991,,,,,,,,,,,,
